date,headline,url,categories,summary,vibe,in_top7,source
15-09-2026,UPDATE: US student visa duration-of-status rule blocked,<https://thepienews.com/temporary-win-for-sector-taking-on-duration-of-status-in-court/>,Destination Countries,"A federal judge granted an injunction stopping the rule that would cap study visas at four years from taking effect Sept 15, sparing Indian students from repeated extension filings.",positive,TRUE,The PIE News
15-09-2026,US colleges slash internships as CPT rules tighten,<https://thepienews.com/us-colleges-restrict-internships-as-cpt-rules-tighten/>,Destination Countries,"US universities are curtailing CPT placements after DHS warnings, cutting internship income and work experience for international students including the large Indian F-1 cohort.",negative,TRUE,The PIE News
15-09-2026,South Korean workers challenge Trump over Georgia raid,<https://us.cnn.com/2026/09/15/us/hyundai-plant-ice-raid-workers-file-claim-hnk-dst>,Destination Countries,"Over 300 South Korean workers detained in a Hyundai-plant immigration raid are filing legal claims against the Trump administration, signalling a hardening US enforcement climate for foreign workers.",neutral,TRUE,CNN
15-09-2026,London mayor launches welcome drive for foreign students,<https://thepienews.com/london-mayor-teams-up-with-unis-to-welcome-international-students/>,Destination Countries,"London's mayor launched a citywide welcome campaign for international students, a warmer signal for Indians weighing the UK against tightening rivals.",positive,TRUE,The PIE News
15-09-2026,Malaysia detains 472 undocumented workers in KL raid,<https://kathmandupost.com/national/2026/09/15/472-undocumented-workers-including-nepalis-detained-in-kuala-lumpur-raids>,Competitor Countries,"Malaysia detained 472 undocumented migrants including Indians, Nepalis and Bangladeshis in a Kuala Lumpur sweep, underscoring enforcement risks for South Asian workers.",negative,TRUE,Kathmandu Post
15-09-2026,"New Zealand student demand rebounds, India a key market",<https://thepienews.com/new-zealands-rebound-signals-shift-in-student-demand/>,Destination Countries,"New Zealand's international education earnings hit NZ$4.98 billion with India among its top two source markets, offering an alternative to tighter destinations.",positive,FALSE,The PIE News
09-09-2026,Japan weighs aviation category for foreign worker scheme,<https://www.japantimes.co.jp/news/2026/09/09/japan/foreign-worker-category-aviation/>,Destination Countries,"Japan's immigration agency is considering an aviation category under its Specified Skilled Worker programme, a possible new skilled route for Indian aviation technicians though initial plans reallocate ~300 existing workers rather than expand intake.",neutral,TRUE,The Japan Times
09-09-2026,Filipina care workers seen sustaining ageing Asia-Pacific,<https://businessmirror.com.ph/2026/09/09/filipina-care-workers-seen-sustaining-aging-asia-pacific/>,Competitor Countries,"Analysts see Filipino care workers increasingly filling Asia-Pacific's ageing-society labour gap, showing the Philippines consolidating a care-economy export niche India is still trying to scale.",neutral,TRUE,BusinessMirror
08-09-2026,US judge signals possible halt to student visa time-limit rule,<https://thepienews.com/judge-signals-possible-halt-to-us-student-visa-duration-rule/>,Destination Countries,"A federal judge hinted he may pause the rule replacing duration of status with a four-year cap, a potential reprieve for Indian students who would otherwise face repeated extension filings.",positive,TRUE,The PIE News
07-09-2026,"US proposes extra $103,265 fee on H-1B visas",<https://www.businesstoday.in/nri/visa/story/will-the-us-increase-h-1b-visa-fee-to-usd-200000-heres-what-we-know-553693-2026-09-07>,India Specific,"A proposed DHS fee stacked on the existing $100,000 charge could push total H-1B costs past $203,000, hitting India's IT workforce hardest.",negative,TRUE,Business Today
07-09-2026,Germany struggles to attract foreign skilled workers,<https://www.thelocal.de/20260907/can-germany-still-attract-foreign-workers-as-skilled-labour-shortages-spike>,Destination Countries,Deepening labour shortages amid falling immigration and political headwinds signal both opportunity and uncertainty for Indian professionals.,neutral,TRUE,The Local Germany
07-09-2026,US moves to strip work rights from H-1B spouses (H-4 EAD),<https://worldvisaacademy.com/blog/global-visa-immigration-updates-september-7-2026>,India Specific|Destination Countries,"DHS proposed scrapping the H-4 EAD program whose ~228,000 approved beneficiaries are mostly Indian women, risking income and status for thousands of Indian families.",negative,TRUE,World Visa Academy
05-09-2026,IDP to consolidate 15 India student placement offices,<https://thepienews.com/idp-to-consolidate-15-india-student-placement-locations/>,India Specific,"IDP is merging 15 India counselling offices and cutting ~200 roles, signalling that tighter visa regimes in Australia, Canada, the UK and US are shrinking India's outbound student pipeline.",negative,TRUE,The PIE News
04-09-2026,"Canada invites 3,500 healthcare workers via Express Entry",<https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/express-entry/submit-profile/rounds-invitations.html>,Destination Countries,A category-based Express Entry draw for healthcare occupations at CRS 475 keeps a key PR pathway open for Indian nurses and physicians.,positive,TRUE,IRCC
03-09-2026,Indian student mobility set to reshuffle by 2030,<https://monitor.icef.com/2026/09/the-outlook-for-indian-student-mobility-through-2030/>,India Specific,"A new outlook projects the UK overtaking the US and Canada as the top destination for Indian students by 2030, with Germany and wider Europe the fastest-growing options.",neutral,TRUE,ICEF Monitor
